algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
quick_sort,10,aleatorio,D7,c,5,2000,6.325e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,6,2000,6.225e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,7,2000,6.255e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,8,2000,6.2e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,9,2000,6.345e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,10,2000,6.18e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,11,2000,6.165e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,12,2000,6.215e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,13,2000,6.205e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,14,2000,6.165e-05,40,5283840,1
quick_sort,10,aleatorio,D7,c,15,2000,6.19e-05,40,5283840,1
patience_sort,10,aleatorio,D7,c,1,2000,0.00018845,384,5283840,1
patience_sort,10,aleatorio,D7,c,2,2000,0.00018505,384,5283840,1
patience_sort,10,aleatorio,D7,c,3,2000,0.00018445,384,5283840,1
patience_sort,10,aleatorio,D7,c,4,2000,0.00018555,384,5283840,1
patience_sort,10,aleatorio,D7,c,5,2000,0.0001853,384,5283840,1
patience_sort,10,aleatorio,D7,c,6,2000,0.00018425,384,5283840,1
patience_sort,10,aleatorio,D7,c,7,2000,0.0001839,384,5283840,1
patience_sort,10,aleatorio,D7,c,8,2000,0.0001864,384,5283840,1
patience_sort,10,aleatorio,D7,c,9,2000,0.0001857,384,5283840,1
patience_sort,10,aleatorio,D7,c,10,2000,0.0001869,384,5283840,1
patience_sort,10,aleatorio,D7,c,11,2000,0.00018485,384,5283840,1
