algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
strassen,16,diagonal,D10,a,2,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D10,a,3,200,0.0012915,2048,5132288,64,1
strassen,16,diagonal,D10,a,4,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D10,a,5,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D10,a,6,200,0.001236,2048,5132288,64,1
strassen,16,diagonal,D10,a,7,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,a,8,200,0.001238,2048,5132288,64,1
strassen,16,diagonal,D10,a,9,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D10,a,10,200,0.001236,2048,5132288,64,1
strassen,16,diagonal,D10,a,11,200,0.001256,2048,5132288,64,1
strassen,16,diagonal,D10,a,12,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D10,a,13,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D10,a,14,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D10,a,15,200,0.0012385,2048,5132288,64,1
naive,16,diagonal,D10,b,1,200,0.001234,2048,5132288,64,1
naive,16,diagonal,D10,b,2,200,0.001233,2048,5132288,64,1
naive,16,diagonal,D10,b,3,200,0.001254,2048,5132288,64,1
naive,16,diagonal,D10,b,4,200,0.001234,2048,5132288,64,1
naive,16,diagonal,D10,b,5,200,0.0012345,2048,5132288,64,1
naive,16,diagonal,D10,b,6,200,0.001447,2048,5132288,64,1
naive,16,diagonal,D10,b,7,200,0.001422,2048,5132288,64,1
naive,16,diagonal,D10,b,8,200,0.001272,2048,5132288,64,1
naive,16,diagonal,D10,b,9,200,0.0012305,2048,5132288,64,1
naive,16,diagonal,D10,b,10,200,0.001251,2048,5132288,64,1
naive,16,diagonal,D10,b,11,200,0.0012305,2048,5132288,64,1
naive,16,diagonal,D10,b,12,200,0.001256,2048,5132288,64,1
naive,16,diagonal,D10,b,13,200,0.001237,2048,5132288,64,1
naive,16,diagonal,D10,b,14,200,0.001236,2048,5132288,64,1
naive,16,diagonal,D10,b,15,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D10,b,1,200,0.001244,2048,5132288,64,1
strassen,16,diagonal,D10,b,2,200,0.001254,2048,5132288,64,1
strassen,16,diagonal,D10,b,3,200,0.0012455,2048,5132288,64,1
strassen,16,diagonal,D10,b,4,200,0.001244,2048,5132288,64,1
strassen,16,diagonal,D10,b,5,200,0.0012435,2048,5132288,64,1
strassen,16,diagonal,D10,b,6,200,0.001246,2048,5132288,64,1
strassen,16,diagonal,D10,b,7,200,0.0012445,2048,5132288,64,1
strassen,16,diagonal,D10,b,8,200,0.001246,2048,5132288,64,1
strassen,16,diagonal,D10,b,9,200,0.001268,2048,5132288,64,1
strassen,16,diagonal,D10,b,10,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D10,b,11,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,b,12,200,0.001238,2048,5132288,64,1
strassen,16,diagonal,D10,b,13,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,b,14,200,0.001302,2048,5132288,64,1
strassen,16,diagonal,D10,b,15,200,0.0012505,2048,5132288,64,1
naive,16,diagonal,D10,c,1,200,0.001234,2048,5132288,64,1
naive,16,diagonal,D10,c,2,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D10,c,3,200,0.0012315,2048,5132288,64,1
naive,16,diagonal,D10,c,4,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D10,c,5,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D10,c,6,200,0.001233,2048,5132288,64,1
naive,16,diagonal,D10,c,7,200,0.0012535,2048,5132288,64,1
naive,16,diagonal,D10,c,8,200,0.00123,2048,5132288,64,1
